,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
645,4.056711234365198,6.507949569898817,0.21871085073719287,6.51162361017407,[3.28900819 3.52663399],[-3.21894138  3.30792314],380.4364231143232
646,4.063000709147159,6.535853722169431,0.22005265377683436,6.539557098766722,[3.30140327 3.54827008],[-3.23445045  3.32821743],381.17298224184043
647,4.069290183929121,6.563500280737574,0.22140087957509147,6.567233381319628,[3.31366869 3.57000974],[-3.24983159  3.34860886],381.90993294887755
648,4.075579658711082,6.5908875666023174,0.22275547479970692,6.5946507805301,[3.3258034 3.5918521],[-3.26508416  3.36909662],382.64727226767803
649,4.081869133493044,6.618013916913426,0.2241163858664672,6.6218076352966975,[3.33780633 3.6137963 ],[-3.28020758  3.38967992],383.3849973594007
650,4.088158608275005,6.644877684794151,0.22548355894131733,6.6487023005416725,[3.34967644 3.63584148],[-3.29520125  3.41035792],384.12310551141934
651,4.094448083056967,6.671477239169668,0.22685693994249734,6.675333147039106,[3.36141268 3.65798675],[-3.31006456  3.43112981],384.86159413473246
652,4.1007375578389285,6.6978109646007455,0.22823647454267748,6.701698561248308,[3.37301403 3.68023125],[-3.32479693  3.45199478],385.60046076147523
653,4.10702703262089,6.723877261122533,0.2296221081711063,6.727796945152373,[3.38447947 3.7025741 ],[-3.33939779  3.47295199],386.3397030425353
654,4.113316507402852,6.749674544088128,0.2310137860157746,6.753626716101551,[3.395808  3.7250144],[-3.35386655  3.49400062],387.07931874526446
655,4.119605982184813,6.7752012440167615,0.23241145302557475,6.779186306661275,[3.40699861 3.74755128],[-3.36820264  3.51513983],387.81930575128746
656,4.125895456966775,6.800455806446365,0.2338150539124837,6.804474164464597,[3.41805032 3.77018384],[-3.38240549  3.53636879],388.55966205440245
657,4.1321849317487365,6.825436691790275,0.2352245331537577,6.829488752068809,[3.42896215 3.79291119],[-3.39647454  3.55768666],389.3003857585704
658,4.138474406530698,6.8501423751979225,0.23663983499411234,6.854228546816065,[3.43973314 3.81573242],[-3.41040923  3.57909259],390.0414750759922
659,4.1447638813126595,6.874571346419245,0.23806090344793818,6.878692040697778,[3.45036232 3.83864664],[-3.42420902  3.60058574],390.78292832527006
660,4.1510533560946214,6.898722109672711,0.23948768230151707,6.9028777402226424,[3.46084875 3.86165294],[-3.43787336  3.62216526],391.5247439296511
661,4.1573428308765825,6.922593183516667,0.24092011511524003,6.92678416628803,[3.47119148 3.88475041],[-3.4514017   3.64383029],392.26692041534943
